nome,preco,unidade,unidade_original,taco_codigo,taco_nome,similaridade,calorias,carboidratos,proteinas,gorduras,gorduras_saturadas,gorduras_trans,fibra,sodio
"Purê de casadinho de Batata inglesa com batata docê 2,500Kg",5.3284,KG,Kilo,94,"Batata, inglesa, sauté",0.4617,67.88793615063032,14.093000000000005,1.2916666666666667,0.8963333333333333,0.0,0,6.456333333333333,8.182
"Purê de Mandioca 2,000Kg",10.006124999999999,KG,Kilo,124,"Fécula, de mandioca",0.5238,330.85055833333337,81.14916666666667,0.5208333333333333,0.2833333333333334,0.0,0,3.017,2.449
PSYLLIUM,99.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
QUEIJO BRANCO frescal,44.4,KG,Kilo,461,"Queijo, minas, frescal",0.6402,264.27312799999993,3.240313333333333,17.411020000000004,20.180666666666667,61.99633333333333,0,6.883666666666667,31.226333333333333
QUEIJO BRIE,119.9,KG,Kilo,469,"Queijo, ricota",0.5417,139.73177999999996,3.7861666666666673,12.6005,8.108666666666666,48.70333333333334,0,11.808666666666667,282.579
QUEIJO COALHO,62.9,KG,Kilo,469,"Queijo, ricota",0.5513,139.73177999999996,3.7861666666666673,12.6005,8.108666666666666,48.70333333333334,0,11.808666666666667,282.579
QUEIJO COTTAGE,71.9,KG,Kilo,469,"Queijo, ricota",0.5741,139.73177999999996,3.7861666666666673,12.6005,8.108666666666666,48.70333333333334,0,11.808666666666667,282.579
Queijo Minas Padrao Lacfree Sem Lactose 400g,99.89999999999999,KG,Kilo,461,"Queijo, minas, frescal",0.609,264.27312799999993,3.240313333333333,17.411020000000004,20.180666666666667,61.99633333333333,0,6.883666666666667,31.226333333333333
QUEIJO MUSSARELA DE BUFULA 400g,105.0,KG,Kilo,463,"Queijo, mozarela",0.4764,329.8707184208871,3.0493329270680736,22.64900040626526,25.183000000000003,79.579,0,23.573666666666668,581.357
QUEIJO MUSSARELA pedaço,55.0,KG,Kilo,463,"Queijo, mozarela",0.6,329.8707184208871,3.0493329270680736,22.64900040626526,25.183000000000003,79.579,0,23.573666666666668,581.357
QUEIJO PARMESÃO,139.79999999999998,KG,Kilo,464,"Queijo, parmesão",1.0,452.9637553333333,1.6607199999999995,35.55361333333333,33.529333333333334,105.844,0,33.367333333333335,1844.0810000000001
QUEIJO RICOTA,27.9,KG,Kilo,469,"Queijo, ricota",1.0,139.73177999999996,3.7861666666666673,12.6005,8.108666666666666,48.70333333333334,0,11.808666666666667,282.579
QUEIJO TOFU (SOJA),57.0,KG,Kilo,467,"Queijo, prato",0.558,359.88046240505474,1.8785729268391926,22.661760406494142,29.106333333333335,90.90233333333333,0,28.273666666666667,579.774
QUIABO 300g,30.0,KG,Kilo,147,"Quiabo, cru",0.655,29.939262150069077,6.373916666666666,1.91875,0.299,0.0,0,49.969,0.891
QUINOA EM GRÃO,28.15,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
QUINOA FLOCOS,39.0,KG,Kilo,7,"Aveia, flocos, crua",0.425,393.82268944927546,66.63564057971016,13.921026086956523,8.496666666666666,0.0,0,118.76233333333333,4.626666666666667
RABANETE ORGANICO 500g,19.599999999999998,KG,Kilo,148,"Rabanete, cru",0.666,13.738126086956488,2.7253623188405807,1.391304347826087,0.07333333333333335,0.0,0,9.613333333333332,10.993333333333334
RASPA DE CASCA DE LARANJA,2.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
RASPA DE CASCA DE LIMÃO,2.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
RASPA DE CÔCO,9.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
Refogado de proteína de soja ao molho 350g (vegana),23.000000000000004,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
Refogado de proteína de soja com cheiro verde 350g (vegana),20.742857142857144,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
"REPOLHO ROXO 1,236kg",6.999999999999999,KG,Kilo,150,"Repolho, roxo, cru",0.8086,30.907502954324087,7.204000000000001,1.908333333333333,0.06366666666666666,0.0,0,18.024333333333335,2.337666666666667
"REPOLHO VERDE 1,460kg",6.99,KG,Kilo,29,"Curau, milho verde",0.4583,78.43381831365585,13.944399957656858,2.3606000423431395,1.6369999999999998,4.742,0,15.961333333333334,20.512
REQUEIJÃO LIGHT catupiry 200ml,59.949999999999996,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
RUCULA ORGANICA 200g,35.8,KG,Kilo,152,"Rúcula, crua",0.6453,13.133256607294062,2.2196666666666607,1.7666666666666664,0.10733333333333334,0.0,0,17.790666666666667,9.418
SACHE AZEITE 4ml,68.14,KG,Caixa,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
"SACHE SAL 0,8g",32.03,KG,Caixa,261,"Manteiga, com sal",0.4524,725.9689268459988,0.0632999925613329,0.4147000074386597,82.361,200.55,0,1.4673333333333334,578.6946666666668
SACHE VINAGRE TINTO 5ML,17.75,KG,Caixa,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
SACO DELIVERY LOGO VERMELHO 34X31X19CM SEM ALÇA C/50UNDS,58.89,KG,Pacote,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
SAL,2.1999999999999997,KG,Kilo,517,"Sal, grosso",0.5915,0.0,0.0,0.0,0.0,0.0,0,0.0,39943.203
SAL MARINHO,35.0,KG,Kilo,517,"Sal, grosso",0.4524,0.0,0.0,0.0,0.0,0.0,0,0.0,39943.203
SALMÃO,109.96,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
SALSÃO 500g,14.399999999999999,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
SALSINHA 150g,22.5,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
SALVIA,65.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
Seleta Vegana 350g (vegana),14.000000000000002,KG,Kilo,154,"Seleta de legumes, enlatada",0.4306,56.533772463768145,12.669710144927544,3.4202898550724634,0.35333333333333333,0.0,0,15.613333333333335,398.1366666666666
SEMENTE DE ABÓBORA TORRADA,60.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
SEMENTE DE GIRASSOL,20.499999999999996,KG,Kilo,269,"Óleo, de girassol",0.5115,884.0,0.0,0.0,100.0,0.0,0,0.0,0.0
SEMENTE DE MOSTARDA,12.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
SEMENTE DE MOSTARDA PRETA,5.19,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
SOBRE COXA,13.99,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
SOJA (PROTEINA DE SOJA),22.0,KG,Kilo,49,"Pão, de soja",0.6367,308.7263233333333,56.510333333333335,11.343,3.58,0.0,0,48.31833333333333,662.5413333333333
TAPIOCA,12.799999999999999,KG,Kilo,551,"Tapioca, com manteiga",0.6239,347.8265562578241,63.59175,0.08958333333333332,10.908333333333333,31.19033333333333,0,3.218,157.52433333333335
TAPIOCA LOPES 1Kg,13.999999999999998,KG,Kilo,551,"Tapioca, com manteiga",0.477,347.8265562578241,63.59175,0.08958333333333332,10.908333333333333,31.19033333333333,0,3.218,157.52433333333335
TILAPIA,62.300000000000004,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
TEMPERO A GOSTO,80.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
TOMATE CARMEM 330g,11.99,KG,Kilo,160,"Tomate, purê",0.5417,27.93687971014494,6.894347826086953,1.36231884057971,0.0,0.0,0,15.436666666666667,103.93
TOMATE CEREJA 280g,27.72,KG,Kilo,160,"Tomate, purê",0.5417,27.93687971014494,6.894347826086953,1.36231884057971,0.0,0.0,0,15.436666666666667,103.93
TOMILHO,45.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
TORRADA INTEGRAL,29.900000000000002,KG,Kilo,458,"Leite, de vaca, integral",0.4679,0.0,0.0,0.0,0.0,10.49,0,9.636666666666668,63.76
TOUCINHO,11.9,KG,Kilo,444,"Toucinho, cru",0.666,592.5311749999998,0.0,11.479166666666666,60.25666666666666,73.08366666666667,0,3.568,49.586666666666666
TRIGO PARA KIBE,22.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
UVA PASSA AMARELA SEM SEMENTE 200g,54.5,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
UVA PASSAS PRETA SEM SEMENTE 200g,31.0,KG,Kilo,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
UVA PASSAS SEM SEMENTE (flame),28.5,KG,Kilo,594,"Linhaça, semente",0.428,495.09611384365076,43.31219949315389,14.083867173512777,32.25293333333334,0.0,0,346.92233333333337,8.673333333333334
UVA PRETA SEM SEMENTE 500g RUBI,19.799999999999997,KG,Kilo,257,"Uva, Rubi, crua",0.4286,49.061289999999964,12.69533333333333,0.6083333333333333,0.157,0.0,0,5.827333333333333,7.919
UVA VERDE SEM SEMENTE 500g ITALIA,25.8,KG,Kilo,256,"Uva, Itália, crua",0.4564,52.873100000000065,13.573333333333345,0.7463768115942029,0.20333333333333334,0.0,0,4.983333333333333,0.0
VAGEM 206g,18.9,KG,Kilo,162,"Vagem, crua",0.6367,24.898357971014487,5.347101449275358,1.786231884057971,0.17333333333333334,0.0,0,17.833333333333332,0.0
VINAGRE BALSAMICO 500ml,19.799999999999997,L,Litro,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
VINAGRE DE LIMÃO 750ml,5.1,L,Litro,483,"Refrigerante, tipo limão",0.457,39.71910000000001,10.263333333333335,0.0,0.0,0.0,0,0.531,8.803333333333335
VINAGRE DE MAÇÃ 750ml,6.7,L,Litro,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
VINHO TINTO 750ml,6.6,L,Litro,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
VINHO BRANCO SECO 750ml,13.2,L,Litro,,Sem equivalente TACO confiavel,0,0,0,0,0,0,0,0,0
